StopId,Name,Latitude,Longitude
"2","Parnell Square","53.35224111","-6.263695"
"3","Parnell Square","53.35230694","-6.263783056"
"4","Parnell Square","53.35256694","-6.264166111"
"6","Parnell Square","53.35274389","-6.264443056"
"7","Parnell Square","53.35283611","-6.264561944"
"8","Parnell Square","53.35328111","-6.265155"
"10","Parnell Square","53.35338694","-6.265383889"
"11","Dorset St","53.35709389","-6.264366944"
"12","Dorset St","53.35678889","-6.264623056"
"14","Dorset St","53.35853694","-6.262723889"
"15","Dorset St","53.36025111","-6.260973056"
"16","Nephin Road","53.36641889","-6.305635"
"17","Drumcondra Rd","53.36306694","-6.258398056"
"18","Drumcondra Rd","53.36584889","-6.255931111"
"19","Drumcondra Rd","53.36713806","-6.255493056"
"21","Drumcondra Rd","53.37009194","-6.254291111"
"22","Home Farm Road","53.37350306","-6.252781944"
"23","Home Farm Road","53.37423194","-6.256245"
"24","Home Farm Road","53.375135","-6.260346111"
"25","Home Farm Road","53.37590306","-6.263611111"
"27","Ballymun Road","53.37943806","-6.266575"
"28","Ballymun Road","53.381575","-6.265988889"
"29","Ballymun Road","53.38348389","-6.265663056"
"30","Ventry Park","53.37032111","-6.304578056"
"31","St. Pappin's Road","53.38603194","-6.268845"
"32","St. Pappin's Road","53.38619306","-6.27137"
"33","Glasnevin Drive","53.38875306","-6.271751111"
"35","St. Pappin's Road","53.38620806","-6.270908056"
"36","St. Pappin's Road","53.38612306","-6.267871944"
"37","Ballymun Road","53.38534694","-6.264878889"
"38","Ballymun Road","53.38223889","-6.2655"
"39","Ballymun Road","53.38041611","-6.265648889"
"40","Mobhi Road","53.37666194","-6.264663056"
"41","Home Farm Road","53.37555611","-6.26184"
"42","Home Farm Road","53.37465389","-6.257438889"
"43","Home Farm Road","53.37386111","-6.253873056"
"44","Drumcondra Rd","53.37301611","-6.25211"
"45","Drumcondra Rd","53.36988111","-6.254133056"
"46","Drumcondra Rd","53.36714694","-6.255358889"
"47","Drumcondra Rd","53.36390889","-6.257276111"
"48","Drumcondra Rd","53.36232194","-6.258763889"
"49","Dorset St","53.359955","-6.260865"
"51","Dorset St","53.35781611","-6.263266111"
"52","Dorset St","53.356645","-6.264533889"
"53","North Circular Road","53.35998611","-6.26282"
"54","North Circular Road","53.36014889","-6.265556944"
"55","North Circular Road","53.36041","-6.268455"
"56","Cabra Road","53.36075889","-6.27645"
"57","Cabra Road","53.36076694","-6.276603889"
"58","Cabra Road","53.36093694","-6.281186111"
"59","Cabra Road","53.36107611","-6.28487"
"60","Cabra Road","53.361235","-6.289248889"
"63","Faussagh Avenue","53.36678806","-6.292728889"
"64","Faussagh Avenue","53.36708111","-6.295213056"
"65","Faussagh Avenue","53.36724611","-6.298033056"
"66","Faussagh Avenue","53.367295","-6.300863889"
"68","Ventry Drive","53.36907","-6.304223056"
"69","Carnlough Road","53.37138306","-6.30332"
"71","Ventry Park","53.37025111","-6.304416944"
"72","Ventry Drive","53.36896111","-6.304241111"
"73","Faussagh Avenue","53.36738694","-6.300705"
"74","Faussagh Avenue","53.36716694","-6.295448056"
"75","Faussagh Avenue","53.36653694","-6.291296944"
"77","Cabra Road","53.361305","-6.289556111"
"78","Cabra Road","53.36113111","-6.283971944"
"79","Cabra Road","53.36101389","-6.280786111"
"80","Cabra Road","53.36085389","-6.27605"
"81","North Circular Road","53.36087194","-6.271958889"
"82","North Circular Road","53.36078694","-6.271673056"
"83","North Circular Road","53.36027389","-6.26554"
"84","North Circular Road","53.360155","-6.263696944"
"85","Drumcondra Rd","53.3739","-6.251858889"
"86","Griffith Avenue","53.37605389","-6.251143889"
"87","Griffith Avenue","53.376755","-6.25486"
"88","Griffith Avenue","53.37729111","-6.257676111"
"89","Griffith Avenue","53.37803","-6.261568056"
"90","Ballymun Road","53.38638694","-6.265251944"
"91","Ballymun Road","53.38842806","-6.265396944"
"92","Ballymun Road","53.38983306","-6.26466"
"93","Ballymun Road","53.392295","-6.264146944"
"94","Ballymun Road","53.39603306","-6.264371944"
"100","Wellington Road","53.30308","-6.322363056"
"102","Balbutcher Lane","53.39776806","-6.267708056"
"104","Balbutcher Lane","53.3997","-6.2766"
"105","Balbutcher Lane","53.40292806","-6.28176"
"107","Balbutcher Lane","53.40203111","-6.279673889"
"108","Balbutcher Lane","53.3998","-6.2767"
"110","Balbutcher Lane","53.39793694","-6.268683056"
"112","Ballymun Road","53.39614389","-6.263973889"
"113","Ballymun Road","53.39226889","-6.263688056"
"114","Ballymun Road","53.39133389","-6.263706111"
"115","Ballymun Road","53.387935","-6.265036944"
"116","Griffith Avenue","53.37769306","-6.259648889"
"117","Griffith Avenue","53.37736611","-6.257526111"
"118","Griffith Avenue","53.37663889","-6.253568056"
"119","Drumcondra Rd","53.37508111","-6.250821111"
"124","Shangan Road","53.39491806","-6.260606111"
"126","Ballymun Road","53.39909194","-6.264086111"
"127","Ballymun Road","53.39910694","-6.263668056"
"128","Glasnevin Avenue","53.389315","-6.265816944"
"129","Glasnevin Avenue","53.38988806","-6.271413056"
"130","Glasnevin Avenue","53.39009111","-6.27417"
"131","Glasnevin Avenue","53.39038389","-6.278343056"
"132","Glasnevin Avenue","53.39047806","-6.282651944"
"133","Grove Park Road","53.39079111","-6.286286111"
"134","Sycamore Rd","53.39309306","-6.286061111"
"136","McKee Road","53.39438111","-6.28985"
"137","McKee Road","53.39231389","-6.292615"
"138","Ballygall Road West","53.38992","-6.292333056"
"139","Glasnevin Avenue","53.39060306","-6.286448056"
"140","Glasnevin Avenue","53.39065389","-6.28236"
"141","Glasnevin Avenue","53.39044306","-6.278083056"
"142","Glasnevin Avenue","53.39018806","-6.274163056"
"143","Glasnevin Avenue","53.38987111","-6.269241111"
"146","Mobhi Road","53.37516194","-6.265043889"
"147","Mobhi Road","53.37248111","-6.265828056"
"148","Mobhi Road","53.37066111","-6.268063056"
"149","Mobhi Road","53.37313806","-6.265968889"
"150","Mobhi Road","53.37565694","-6.26499"
"151","Botanic Rd","53.37195806","-6.269291111"
"153","Glasnevin Hill","53.37573611","-6.270073056"
"154","Old Finglas Rd","53.37726306","-6.275538889"
"155","Old Finglas Rd","53.37787","-6.279563056"
"156","Tolka Estate","53.37862306","-6.28166"
"157","Glasilawn Road","53.38041306","-6.281625"
"158","Griffith Road","53.38134806","-6.283676944"
"159","Griffith Parade","53.38278194","-6.282816944"
"164","Beneavin Rd","53.38842889","-6.280468889"
"165","Beneavin Rd","53.38902889","-6.283755"
"166","Beneavin Rd","53.389585","-6.286293056"
"167","Beneavin Rd","53.39018611","-6.286973889"
"168","Beneavin Rd","53.389255","-6.284413889"
"169","Beneavin Rd","53.38843389","-6.2801"
"173","Glasnamana Place","53.382125","-6.280533889"
"174","Tolka Estate","53.38067889","-6.280938889"
"175","Tolka Estate","53.37842694","-6.281555"
"176","Old Finglas Rd","53.37803389","-6.279281944"
"177","Ballygall Rd East","53.38046889","-6.276206111"
"178","Ballygall Rd East","53.381885","-6.276331944"
"179","Ballygall Rd East","53.38029889","-6.275993056"
"181","Old Finglas Rd","53.37714806","-6.27421"
"182","Glasnevin Hill","53.375645","-6.269881944"
